Country,Population,Birth_Rate,Life_expectancy,Latitude,Longitude,continent,date,total_cases,total_deaths,total_vaccinations,total_tests,new_cases,2022_Population,2020_Population,Rank,Growth_Rate,Area,Density
Norway,"5,347,896",10.4,82.8,60.472024,8.468946,Europe,12/2/2020,36969,351,0,2246602,378,5434319,5379839,120,1.0058,323802,16.7828
Norway,"5,347,896",10.4,82.8,60.472024,8.468946,Europe,12/3/2020,37371,353,0,2264188,402,5434319,5379839,120,1.0058,323802,16.7828
Latvia,"1,912,789",10,74.7,56.879635,24.603189,Europe,12/4/2020,19993,242,1,658086,686,1850651,1897052,151,0.9876,64559,28.666
Norway,"5,347,896",10.4,82.8,60.472024,8.468946,Europe,12/4/2020,37801,354,0,2279891,430,5434319,5379839,120,1.0058,323802,16.7828
Norway,"5,347,896",10.4,82.8,60.472024,8.468946,Europe,12/5/2020,38073,354,0,2286700,272,5434319,5379839,120,1.0058,323802,16.7828
Norway,"5,347,896",10.4,82.8,60.472024,8.468946,Europe,12/6/2020,38323,354,0,2294064,250,5434319,5379839,120,1.0058,323802,16.7828
Latvia,"1,912,789",10,74.7,56.879635,24.603189,Europe,12/7/2020,21520,272,2,675899,207,1850651,1897052,151,0.9876,64559,28.666
Norway,"5,347,896",10.4,82.8,60.472024,8.468946,Europe,12/7/2020,38703,359,0,2317775,380,5434319,5379839,120,1.0058,323802,16.7828
Denmark,"5,818,553",10.6,81,56.26392,9.501785,Europe,12/8/2020,94799,901,1,8115596,2150,5882261,5825641,115,1.0048,43094,136.4984
Norway,"5,347,896",10.4,82.8,60.472024,8.468946,Europe,12/8/2020,39163,361,5,2336825,460,5434319,5379839,120,1.0058,323802,16.7828
Latvia,"1,912,789",10,74.7,56.879635,24.603189,Europe,12/9/2020,22816,293,3,694411,712,1850651,1897052,151,0.9876,64559,28.666
Norway,"5,347,896",10.4,82.8,60.472024,8.468946,Europe,12/9/2020,39525,361,6,2355753,362,5434319,5379839,120,1.0058,323802,16.7828
